created_at,entry_id,field1,field2,field3,field4,field5,field6
2017-12-25 16:21:24 UTC,1,21.07,48.32,9.73,3.43,97,576
2017-12-25 16:22:34 UTC,2,20.78,48.70,9.58,3.43,97,576
2017-12-25 16:23:43 UTC,3,20.68,49.08,9.60,3.43,97,576
2017-12-25 16:24:53 UTC,4,20.58,49.15,9.53,3.43,96,575
2017-12-25 16:26:04 UTC,5,20.58,49.27,9.57,3.43,96,575
2017-12-25 16:27:13 UTC,6,20.59,49.23,9.57,3.42,96,575
2017-12-25 16:28:23 UTC,7,20.55,49.22,9.52,3.42,96,574
2017-12-25 16:29:33 UTC,8,20.62,49.27,9.61,3.42,95,574
2017-12-25 16:30:42 UTC,9,20.55,49.29,9.55,3.42,95,574
2017-12-25 16:31:52 UTC,10,20.41,49.63,9.52,3.42,95,572
2017-12-25 16:33:03 UTC,11,20.44,49.61,9.54,3.42,95,574
2017-12-25 16:34:15 UTC,12,20.54,49.22,9.51,3.40,95,573
2017-12-25 16:35:26 UTC,13,20.54,49.12,9.48,3.41,94,572
2017-12-25 16:36:37 UTC,14,20.58,48.95,9.47,3.41,94,572
2017-12-25 16:37:48 UTC,15,20.68,49.17,9.63,3.41,94,572
2017-12-25 16:38:58 UTC,16,20.82,45.46,8.59,3.41,92,570
2017-12-25 16:40:08 UTC,17,20.63,48.55,9.40,3.41,93,571
2017-12-25 16:41:19 UTC,18,20.59,48.56,9.37,3.40,93,571
2017-12-25 16:42:32 UTC,19,20.65,48.52,9.41,3.39,93,571
2017-12-25 16:43:44 UTC,20,20.59,48.69,9.41,3.40,93,571
2017-12-25 16:44:54 UTC,21,20.62,48.56,9.39,3.39,91,571
2017-12-25 16:46:05 UTC,22,20.59,48.57,9.37,3.40,92,570
2017-12-25 16:47:15 UTC,23,20.63,48.49,9.38,3.40,91,568
2017-12-25 16:48:26 UTC,24,20.63,48.51,9.39,3.39,90,568
2017-12-25 16:49:38 UTC,25,20.66,48.36,9.37,3.39,91,569
2017-12-25 16:50:47 UTC,26,20.65,48.38,9.36,3.39,90,569
2017-12-25 16:51:59 UTC,27,20.63,48.38,9.35,3.38,90,568
2017-12-25 16:53:09 UTC,28,20.66,48.34,9.36,3.39,90,568
2017-12-25 16:54:18 UTC,29,20.65,48.25,9.32,3.39,90,568
